t,main,turn,theta,pm1,pm2,pm3,ptm,pt0,ptp,confm,conft,thg,thref,wref
59.8,3,0,-0.0648014768958092,0.0652951598167419,0.0410874933004379,0.893617391586304,3.33437745691044e-18,0.998847603797913,0.0011523487046361,0.893617391586304,0.998847603797913,0,0,0.121254393070605
60,3,0,-0.0684065446257591,0.0490597486495972,0.0290636550635099,0.921876609325409,3.65220878598445e-18,0.999107539653778,0.000892496958840638,0.921876609325409,0.999107539653778,0,0,0.121254410024027
60.2,3,0,-0.0689172223210335,0.0555409044027328,0.0398942045867443,0.90456485748291,5.45902766979015e-18,0.999003827571869,0.000996177201159298,0.90456485748291,0.999003827571869,0,0,0.121254422205103
60.4,3,0,-0.0677725896239281,0.0656525939702988,0.0622840970754623,0.872063279151917,3.36270839289038e-18,0.99918657541275,0.000813455786556005,0.872063279151917,0.99918657541275,0,0,0.121254430957238
60.6,3,0,-0.0662995353341103,0.067723460495472,0.0734163671731949,0.858860194683075,3.35612817111752e-18,0.998994171619415,0.00100579997524619,0.858860194683075,0.998994171619415,0,0,0.121254437245669
60.8,3,0,-0.0654694512486458,0.064493790268898,0.076123870909214,0.859382331371307,2.76962671792992e-18,0.998939216136932,0.0010608445154503,0.859382331371307,0.998939216136932,0,0,0.121254441763922
61,3,0,-0.0655712559819221,0.0603780522942543,0.0711908414959908,0.868431150913239,2.16895793559596e-18,0.999010801315308,0.000989172141999006,0.868431150913239,0.999010801315308,0,0,0.121254445010299
61.2,3,0,-0.0658626779913902,0.0566493682563305,0.0654976889491081,0.877852916717529,2.12652315658168e-18,0.99906200170517,0.000938007025979459,0.877852916717529,0.99906200170517,0,0,0.121254447342829
61.4,3,0,-0.0665202960371971,0.0548049472272396,0.0631825923919678,0.882012486457825,2.22801718376617e-18,0.999058663845062,0.0009413868538104,0.882012486457825,0.999058663845062,0,0,0.121254449018758
61.6,3,0,-0.0665864571928978,0.0557237565517426,0.0660458877682686,0.878230392932892,2.37640366628599e-18,0.999024629592896,0.000975328555796295,0.878230392932892,0.999024629592896,0,0,0.121254450222917
